id,name,SMILES,source_row,source_label
DH0088,二酐样本-088,CN(c1ccc(-c2ccc(COc3ccc4c(c3)C(=O)OC4=O)o2)cc1)c1ccc(-c2ccc(COc3ccc4c(c3)C(=O)OC4=O)o2)cc1,15144,4
DH0089,二酐样本-089,O=C1OC(=O)c2cc(OCc3ccc(C=CC=Cc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15145,4
DH0090,二酐样本-090,O=C1OC(=O)c2cc(OCc3ccc(-c4cc(F)cc(-c5ccc(COc6ccc7c(c6)C(=O)OC7=O)o5)c4)o3)ccc21,15146,4
DH0091,二酐样本-091,O=C1OC(=O)c2cc(OCc3ccc(-c4ccccc4-c4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15147,4
DH0092,二酐样本-092,O=C1OC(=O)c2cc(OCc3ccc(-c4ccc5c(c4)Cc4cc(-c6ccc(COc7ccc8c(c7)C(=O)OC8=O)o6)ccc4-5)o3)ccc21,15148,4
DH0093,二酐样本-093,CC(c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)C(C)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15149,4
DH0094,二酐样本-094,CC(Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15150,4
DH0095,二酐样本-095,COC(Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15151,4
DH0096,二酐样本-096,CNC(Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15152,4
DH0097,二酐样本-097,NC(Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15153,4
DH0098,二酐样本-098,O=C1OC(=O)c2cc(OCc3ccc(CC(CO)Cc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15154,4
DH0099,二酐样本-099,O=C1OC(=O)c2cc(OCc3ccc(CC(O)Cc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15155,4
DH0100,二酐样本-100,O=C1OC(=O)c2cc(OCc3ccc(C4CCC(c5ccc(COc6ccc7c(c6)C(=O)OC7=O)o5)CC4)o3)ccc21,15156,4
DH0101,二酐样本-101,O=C1OC(=O)c2cc(OCc3ccc(C4CC5OC4CC5c4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15157,4
DH0102,二酐样本-102,O=C1OC(=O)c2cc(OCc3ccc(S(=O)(=O)c4ccc(S(=O)(=O)c5ccc(COc6ccc7c(c6)C(=O)OC7=O)o5)cc4)o3)ccc21,15158,4
DH0103,二酐样本-103,O=C1OC(=O)c2cc(OCc3ccc(COCNCOCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15159,4
DH0104,二酐样本-104,O=C1OC(=O)c2cc(OCc3ccc(N=Nc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15160,4
DH0105,二酐样本-105,O=C1OC(=O)c2cc(OCc3ccc(CCCCCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15161,4
