smiles,property_name,property_value,property_unit,label_source
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C21CC1)c1ccccc1,Co2 Permeability Barrer,4049.999998,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C21CC1)c1ccccc1,H2 Permeability Barrer,1949.999998,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C21CC1)c1ccccc1,O2 Permeability Barrer,980.0000007,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,Co2 Permeability Barrer,35099.99996,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,H2 Permeability Barrer,23200.00001,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,O2 Permeability Barrer,12500.0,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,Co2 Permeability Barrer,35099.99996,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,H2 Permeability Barrer,23200.00001,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,O2 Permeability Barrer,12500.0,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,Co2 Permeability Barrer,36100.00001,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,H2 Permeability Barrer,28500.0,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,O2 Permeability Barrer,15200.0,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,Co2 Permeability Barrer,36100.00001,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,H2 Permeability Barrer,28500.0,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,O2 Permeability Barrer,15200.0,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,Co2 Permeability Barrer,32800.00002,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,H2 Permeability Barrer,20699.99998,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,O2 Permeability Barrer,11399.99999,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,Co2 Permeability Barrer,32800.00002,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,H2 Permeability Barrer,20699.99998,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,O2 Permeability Barrer,11399.99999,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,Co2 Permeability Barrer,16900.00002,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,H2 Permeability Barrer,10799.99999,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,O2 Permeability Barrer,5700.000004,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,Co2 Permeability Barrer,16900.00002,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,H2 Permeability Barrer,10799.99999,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,O2 Permeability Barrer,5700.000004,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,Co2 Permeability Barrer,35199.99996,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,H2 Permeability Barrer,20599.99998,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,O2 Permeability Barrer,11700.00001,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,Co2 Permeability Barrer,35199.99996,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,H2 Permeability Barrer,20599.99998,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,O2 Permeability Barrer,11700.00001,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,Co2 Permeability Barrer,44199.99996,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,H2 Permeability Barrer,36800.00003,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,O2 Permeability Barrer,18700.00002,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,Co2 Permeability Barrer,44199.99996,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,H2 Permeability Barrer,36800.00003,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,O2 Permeability Barrer,18700.00002,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,Co2 Permeability Barrer,47000.00001,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,H2 Permeability Barrer,33300.00004,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,O2 Permeability Barrer,17900.0,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,Co2 Permeability Barrer,47000.00001,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,H2 Permeability Barrer,33300.00004,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,O2 Permeability Barrer,17900.0,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc([Si](C)(C)C)cc1,Co2 Permeability Barrer,2000.000002,Barrer,exp
